,Year,Location,Indicators,Products,UOM,Scalar Factor,Value
61,2014,Canada,Total demand,"Beer, wine, and liquor from stores",Dollars,millions,936.8
62,2014,Canada,Total demand,Urban transit and parking,Dollars,millions,223.9
63,2014,Canada,Total demand,Miscellaneous products,Dollars,millions,7841.6
64,2014,Canada,Domestic demand,Total tourism expenditures,Dollars,millions,51912.1
65,2014,Canada,Domestic demand,Total tourism products,Dollars,millions,43343.7
66,2014,Canada,Domestic demand,Total transportation,Dollars,millions,21293.1
67,2014,Canada,Domestic demand,Passenger air transport,Dollars,millions,9313.2
68,2014,Canada,Domestic demand,Passenger rail transport,Dollars,millions,191.6
69,2014,Canada,Domestic demand,Passenger water transport,Dollars,millions,213.6
70,2014,Canada,Domestic demand,"Interurban, charter and tour bus transport",Dollars,millions,379.4
71,2014,Canada,Domestic demand,Taxis,Dollars,millions,276.2
72,2014,Canada,Domestic demand,Vehicle rental,Dollars,millions,249.4
73,2014,Canada,Domestic demand,Vehicle repairs and parts,Dollars,millions,3736.6
74,2014,Canada,Domestic demand,Vehicle fuel,Dollars,millions,6933.1
75,2014,Canada,Domestic demand,Total accommodation,Dollars,millions,4342.3
76,2014,Canada,Domestic demand,Hotels,Dollars,millions,3102.4
77,2014,Canada,Domestic demand,Motels,Dollars,millions,334.8
78,2014,Canada,Domestic demand,Camping,Dollars,millions,649.2
79,2014,Canada,Domestic demand,Other accommodation,Dollars,millions,255.9
80,2014,Canada,Domestic demand,Total food and beverage services,Dollars,millions,7993.0
81,2014,Canada,Domestic demand,Meals from accommodation,Dollars,millions,380.6
82,2014,Canada,Domestic demand,Meals from restaurants,Dollars,millions,6006.3
83,2014,Canada,Domestic demand,Alcoholic beverages from accommodation,Dollars,millions,204.8
84,2014,Canada,Domestic demand,Alcoholic beverages from restaurants,Dollars,millions,998.0
85,2014,Canada,Domestic demand,Meals and alcoholic beverages from other tourism industries,Dollars,millions,403.3
86,2014,Canada,Domestic demand,Total other tourism products,Dollars,millions,9715.3
87,2014,Canada,Domestic demand,Recreation and entertainment,Dollars,millions,2737.9
88,2014,Canada,Domestic demand,Travel services,Dollars,millions,2561.8
89,2014,Canada,Domestic demand,Convention fees,Dollars,millions,439.8
90,2014,Canada,Domestic demand,Pre-trip expenses,Dollars,millions,3975.8
91,2014,Canada,Domestic demand,Total other products,Dollars,millions,8568.4
92,2014,Canada,Domestic demand,Groceries,Dollars,millions,2942.7
93,2014,Canada,Domestic demand,"Beer, wine, and liquor from stores",Dollars,millions,607.4
94,2014,Canada,Domestic demand,Urban transit and parking,Dollars,millions,160.4
95,2014,Canada,Domestic demand,Miscellaneous products,Dollars,millions,4857.9
96,2014,Canada,Exports,Total tourism expenditures,Dollars,millions,32668.7
97,2014,Canada,Exports,Total tourism products,Dollars,millions,27715.3
98,2014,Canada,Exports,Total transportation,Dollars,millions,11355.8
99,2014,Canada,Exports,Passenger air transport,Dollars,millions,7737.9
100,2014,Canada,Exports,Passenger rail transport,Dollars,millions,97.5
101,2014,Canada,Exports,Passenger water transport,Dollars,millions,292.4
102,2014,Canada,Exports,"Interurban, charter and tour bus transport",Dollars,millions,362.0
103,2014,Canada,Exports,Taxis,Dollars,millions,186.5
104,2014,Canada,Exports,Vehicle rental,Dollars,millions,772.2
105,2014,Canada,Exports,Vehicle repairs and parts,Dollars,millions,676.0
106,2014,Canada,Exports,Vehicle fuel,Dollars,millions,1231.3
107,2014,Canada,Exports,Total accommodation,Dollars,millions,7443.7
108,2014,Canada,Exports,Hotels,Dollars,millions,6233.7
109,2014,Canada,Exports,Motels,Dollars,millions,419.1
110,2014,Canada,Exports,Camping,Dollars,millions,315.3
111,2014,Canada,Exports,Other accommodation,Dollars,millions,475.6
112,2014,Canada,Exports,Total food and beverage services,Dollars,millions,4798.1
113,2014,Canada,Exports,Meals from accommodation,Dollars,millions,260.1
114,2014,Canada,Exports,Meals from restaurants,Dollars,millions,3589.5
115,2014,Canada,Exports,Alcoholic beverages from accommodation,Dollars,millions,143.5
116,2014,Canada,Exports,Alcoholic beverages from restaurants,Dollars,millions,555.2
117,2014,Canada,Exports,Meals and alcoholic beverages from other tourism industries,Dollars,millions,249.8
118,2014,Canada,Exports,Total other tourism products,Dollars,millions,4117.7
119,2014,Canada,Exports,Recreation and entertainment,Dollars,millions,2147.9
120,2014,Canada,Exports,Travel services,Dollars,millions,1694.4
121,2014,Canada,Exports,Convention fees,Dollars,millions,275.4
122,2014,Canada,Exports,Pre-trip expenses,Dollars,millions,0.0
123,2014,Canada,Exports,Total other products,Dollars,millions,4953.4
124,2014,Canada,Exports,Groceries,Dollars,millions,1576.8
125,2014,Canada,Exports,"Beer, wine, and liquor from stores",Dollars,millions,329.4
126,2014,Canada,Exports,Urban transit and parking,Dollars,millions,63.5
127,2014,Canada,Exports,Miscellaneous products,Dollars,millions,2983.7
128,2014,Canada,Interprovincial demand (exports),Total tourism expenditures,Dollars,millions,12679.5
129,2014,Canada,Interprovincial demand (exports),Total tourism products,Dollars,millions,11104.3
130,2014,Canada,Interprovincial demand (exports),Total transportation,Dollars,millions,4907.2
131,2014,Canada,Interprovincial demand (exports),Passenger air transport,Dollars,millions,3277.0
132,2014,Canada,Interprovincial demand (exports),Passenger rail transport,Dollars,millions,33.1
133,2014,Canada,Interprovincial demand (exports),Passenger water transport,Dollars,millions,29.0
134,2014,Canada,Interprovincial demand (exports),"Interurban, charter and tour bus transport",Dollars,millions,59.8
135,2014,Canada,Interprovincial demand (exports),Taxis,Dollars,millions,84.5
136,2014,Canada,Interprovincial demand (exports),Vehicle rental,Dollars,millions,272.5
137,2014,Canada,Interprovincial demand (exports),Vehicle repairs and parts,Dollars,millions,411.1
138,2014,Canada,Interprovincial demand (exports),Vehicle fuel,Dollars,millions,740.2
139,2014,Canada,Interprovincial demand (exports),Total accommodation,Dollars,millions,2152.4
140,2014,Canada,Interprovincial demand (exports),Hotels,Dollars,millions,1812.2
141,2014,Canada,Interprovincial demand (exports),Motels,Dollars,millions,131.5
142,2014,Canada,Interprovincial demand (exports),Camping,Dollars,millions,123.6
143,2014,Canada,Interprovincial demand (exports),Other accommodation,Dollars,millions,85.1
144,2014,Canada,Interprovincial demand (exports),Total food and beverage services,Dollars,millions,2028.0
145,2014,Canada,Interprovincial demand (exports),Meals from accommodation,Dollars,millions,113.8
146,2014,Canada,Interprovincial demand (exports),Meals from restaurants,Dollars,millions,1509.2
147,2014,Canada,Interprovincial demand (exports),Alcoholic beverages from accommodation,Dollars,millions,63.3
148,2014,Canada,Interprovincial demand (exports),Alcoholic beverages from restaurants,Dollars,millions,234.9
149,2014,Canada,Interprovincial demand (exports),Meals and alcoholic beverages from other tourism industries,Dollars,millions,106.8
150,2014,Canada,Interprovincial demand (exports),Total other tourism products,Dollars,millions,2016.7
151,2014,Canada,Interprovincial demand (exports),Recreation and entertainment,Dollars,millions,617.6
152,2014,Canada,Interprovincial demand (exports),Travel services,Dollars,millions,1332.9
153,2014,Canada,Interprovincial demand (exports),Convention fees,Dollars,millions,66.2
154,2014,Canada,Interprovincial demand (exports),Pre-trip expenses,Dollars,millions,0.0
155,2014,Canada,Interprovincial demand (exports),Total other products,Dollars,millions,1575.2
156,2014,Canada,Interprovincial demand (exports),Groceries,Dollars,millions,605.2
157,2014,Canada,Interprovincial demand (exports),"Beer, wine, and liquor from stores",Dollars,millions,127.6
158,2014,Canada,Interprovincial demand (exports),Urban transit and parking,Dollars,millions,48.8
159,2014,Canada,Interprovincial demand (exports),Miscellaneous products,Dollars,millions,793.6
160,2014,Canada,International demand (exports),Total tourism expenditures,Dollars,millions,19989.4
161,2014,Canada,International demand (exports),Total tourism products,Dollars,millions,16611.3
162,2014,Canada,International demand (exports),Total transportation,Dollars,millions,6448.7
163,2014,Canada,International demand (exports),Passenger air transport,Dollars,millions,4460.9
164,2014,Canada,International demand (exports),Passenger rail transport,Dollars,millions,64.4
165,2014,Canada,International demand (exports),Passenger water transport,Dollars,millions,263.4
166,2014,Canada,International demand (exports),"Interurban, charter and tour bus transport",Dollars,millions,302.3
167,2014,Canada,International demand (exports),Taxis,Dollars,millions,102.0
168,2014,Canada,International demand (exports),Vehicle rental,Dollars,millions,499.7
169,2014,Canada,International demand (exports),Vehicle repairs and parts,Dollars,millions,264.9
170,2014,Canada,International demand (exports),Vehicle fuel,Dollars,millions,491.1
171,2014,Canada,International demand (exports),Total accommodation,Dollars,millions,5291.4
172,2014,Canada,International demand (exports),Hotels,Dollars,millions,4421.6
173,2014,Canada,International demand (exports),Motels,Dollars,millions,287.6
174,2014,Canada,International demand (exports),Camping,Dollars,millions,191.7
175,2014,Canada,International demand (exports),Other accommodation,Dollars,millions,390.5
176,2014,Canada,International demand (exports),Total food and beverage services,Dollars,millions,2770.2
177,2014,Canada,International demand (exports),Meals from accommodation,Dollars,millions,146.2
178,2014,Canada,International demand (exports),Meals from restaurants,Dollars,millions,2080.4
179,2014,Canada,International demand (exports),Alcoholic beverages from accommodation,Dollars,millions,80.2
180,2014,Canada,International demand (exports),Alcoholic beverages from restaurants,Dollars,millions,320.4
181,2014,Canada,International demand (exports),Meals and alcoholic beverages from other tourism industries,Dollars,millions,143.0
182,2014,Canada,International demand (exports),Total other tourism products,Dollars,millions,2101.0
183,2014,Canada,International demand (exports),Recreation and entertainment,Dollars,millions,1530.3
184,2014,Canada,International demand (exports),Travel services,Dollars,millions,361.5
185,2014,Canada,International demand (exports),Convention fees,Dollars,millions,209.2
186,2014,Canada,International demand (exports),Pre-trip expenses,Dollars,millions,0.0
187,2014,Canada,International demand (exports),Total other products,Dollars,millions,3378.1
188,2014,Canada,International demand (exports),Groceries,Dollars,millions,971.6
189,2014,Canada,International demand (exports),"Beer, wine, and liquor from stores",Dollars,millions,201.7
190,2014,Canada,International demand (exports),Urban transit and parking,Dollars,millions,14.7
191,2014,Canada,International demand (exports),Miscellaneous products,Dollars,millions,2190.1
192,2014,Canada,Imports,Total tourism expenditures,Dollars,millions,60274.6
193,2014,Canada,Imports,Total tourism products,Dollars,millions,51880.7
194,2014,Canada,Imports,Total transportation,Dollars,millions,20128.2
203,2014,Canada,Imports,Total accommodation,Dollars,millions,15050.1
208,2014,Canada,Imports,Total food and beverage services,Dollars,millions,10555.6
214,2014,Canada,Imports,Total other tourism products,Dollars,millions,6146.8
219,2014,Canada,Imports,Total other products,Dollars,millions,8393.9
224,2014,Canada,Interprovincial imports,Total tourism expenditures,Dollars,millions,12679.5
225,2014,Canada,Interprovincial imports,Total tourism products,Dollars,millions,11104.3
226,2014,Canada,Interprovincial imports,Total transportation,Dollars,millions,4907.2
227,2014,Canada,Interprovincial imports,Passenger air transport,Dollars,millions,3277.0
228,2014,Canada,Interprovincial imports,Passenger rail transport,Dollars,millions,33.1
229,2014,Canada,Interprovincial imports,Passenger water transport,Dollars,millions,29.0
230,2014,Canada,Interprovincial imports,"Interurban, charter and tour bus transport",Dollars,millions,59.8
231,2014,Canada,Interprovincial imports,Taxis,Dollars,millions,84.5
232,2014,Canada,Interprovincial imports,Vehicle rental,Dollars,millions,272.5
233,2014,Canada,Interprovincial imports,Vehicle repairs and parts,Dollars,millions,411.1
234,2014,Canada,Interprovincial imports,Vehicle fuel,Dollars,millions,740.2
235,2014,Canada,Interprovincial imports,Total accommodation,Dollars,millions,2152.4
236,2014,Canada,Interprovincial imports,Hotels,Dollars,millions,1812.2
237,2014,Canada,Interprovincial imports,Motels,Dollars,millions,131.5
238,2014,Canada,Interprovincial imports,Camping,Dollars,millions,123.6
239,2014,Canada,Interprovincial imports,Other accommodation,Dollars,millions,85.1
240,2014,Canada,Interprovincial imports,Total food and beverage services,Dollars,millions,2028.0
241,2014,Canada,Interprovincial imports,Meals from accommodation,Dollars,millions,113.8
242,2014,Canada,Interprovincial imports,Meals from restaurants,Dollars,millions,1509.2
243,2014,Canada,Interprovincial imports,Alcoholic beverages from accommodation,Dollars,millions,63.3
244,2014,Canada,Interprovincial imports,Alcoholic beverages from restaurants,Dollars,millions,234.9
245,2014,Canada,Interprovincial imports,Meals and alcoholic beverages from other tourism industries,Dollars,millions,106.8
246,2014,Canada,Interprovincial imports,Total other tourism products,Dollars,millions,2016.7
247,2014,Canada,Interprovincial imports,Recreation and entertainment,Dollars,millions,617.6
248,2014,Canada,Interprovincial imports,Travel services,Dollars,millions,1332.9
249,2014,Canada,Interprovincial imports,Convention fees,Dollars,millions,66.2
250,2014,Canada,Interprovincial imports,Pre-trip expenses,Dollars,millions,0.0
251,2014,Canada,Interprovincial imports,Total other products,Dollars,millions,1575.2
252,2014,Canada,Interprovincial imports,Groceries,Dollars,millions,605.2
253,2014,Canada,Interprovincial imports,"Beer, wine, and liquor from stores",Dollars,millions,127.6
254,2014,Canada,Interprovincial imports,Urban transit and parking,Dollars,millions,48.8
255,2014,Canada,Interprovincial imports,Miscellaneous products,Dollars,millions,793.6
256,2014,Canada,International imports,Total tourism expenditures,Dollars,millions,47595.2
257,2014,Canada,International imports,Total tourism products,Dollars,millions,40776.5
258,2014,Canada,International imports,Total transportation,Dollars,millions,15221.1
267,2014,Canada,International imports,Total accommodation,Dollars,millions,12897.7
272,2014,Canada,International imports,Total food and beverage services,Dollars,millions,8527.7
278,2014,Canada,International imports,Total other tourism products,Dollars,millions,4130.1
283,2014,Canada,International imports,Total other products,Dollars,millions,6818.7
288,2014,Canada,Tourism product ratio,Total tourism expenditures,Percentage,millions,2.3
289,2014,Canada,Tourism product ratio,Total tourism products,Percentage,millions,33.4
290,2014,Canada,Tourism product ratio,Total transportation,Percentage,millions,33.3
291,2014,Canada,Tourism product ratio,Passenger air transport,Percentage,millions,85.4
292,2014,Canada,Tourism product ratio,Passenger rail transport,Percentage,millions,93.4
293,2014,Canada,Tourism product ratio,Passenger water transport,Percentage,millions,66.4
294,2014,Canada,Tourism product ratio,"Interurban, charter and tour bus transport",Percentage,millions,29.6
295,2014,Canada,Tourism product ratio,Taxis,Percentage,millions,18.6
296,2014,Canada,Tourism product ratio,Vehicle rental,Percentage,millions,34.5
297,2014,Canada,Tourism product ratio,Vehicle repairs and parts,Percentage,millions,18.2
298,2014,Canada,Tourism product ratio,Vehicle fuel,Percentage,millions,18.2
299,2014,Canada,Tourism product ratio,Total accommodation,Percentage,millions,86.9
300,2014,Canada,Tourism product ratio,Hotels,Percentage,millions,87.3
301,2014,Canada,Tourism product ratio,Motels,Percentage,millions,80.8
302,2014,Canada,Tourism product ratio,Camping,Percentage,millions,88.7
303,2014,Canada,Tourism product ratio,Other accommodation,Percentage,millions,85.5
304,2014,Canada,Tourism product ratio,Total food and beverage services,Percentage,millions,19.0
305,2014,Canada,Tourism product ratio,Meals from accommodation,Percentage,millions,18.9
306,2014,Canada,Tourism product ratio,Meals from restaurants,Percentage,millions,18.8
307,2014,Canada,Tourism product ratio,Alcoholic beverages from accommodation,Percentage,millions,19.9
308,2014,Canada,Tourism product ratio,Alcoholic beverages from restaurants,Percentage,millions,19.9
309,2014,Canada,Tourism product ratio,Meals and alcoholic beverages from other tourism industries,Percentage,millions,19.2
310,2014,Canada,Tourism product ratio,Total other tourism products,Percentage,millions,40.8
311,2014,Canada,Tourism product ratio,Recreation and entertainment,Percentage,millions,19.7
312,2014,Canada,Tourism product ratio,Travel services,Percentage,millions,98.0
313,2014,Canada,Tourism product ratio,Convention fees,Percentage,millions,88.9
314,2014,Canada,Tourism product ratio,Pre-trip expenses,Percentage,millions,100.0
315,2014,Canada,Tourism product ratio,Total other products,Percentage,millions,0.4
316,2014,Canada,Tourism product ratio,Groceries,Percentage,millions,4.6
317,2014,Canada,Tourism product ratio,"Beer, wine, and liquor from stores",Percentage,millions,4.6
318,2014,Canada,Tourism product ratio,Urban transit and parking,Percentage,millions,5.4
319,2014,Canada,Tourism product ratio,Miscellaneous products,Percentage,millions,0.2
320,2014,Newfoundland and Labrador,Total domestic supply,Total tourism expenditures,Dollars,millions,58294.7
321,2014,Newfoundland and Labrador,Total domestic supply,Total tourism products,Dollars,millions,2873.0
322,2014,Newfoundland and Labrador,Total domestic supply,Total transportation,Dollars,millions,1587.7
323,2014,Newfoundland and Labrador,Total domestic supply,Passenger air transport,Dollars,millions,252.8
324,2014,Newfoundland and Labrador,Total domestic supply,Passenger rail transport,Dollars,millions,0.5
325,2014,Newfoundland and Labrador,Total domestic supply,Passenger water transport,Dollars,millions,45.1
326,2014,Newfoundland and Labrador,Total domestic supply,"Interurban, charter and tour bus transport",Dollars,millions,24.4
327,2014,Newfoundland and Labrador,Total domestic supply,Taxis,Dollars,millions,34.8
328,2014,Newfoundland and Labrador,Total domestic supply,Vehicle rental,Dollars,millions,39.8
329,2014,Newfoundland and Labrador,Total domestic supply,Vehicle repairs and parts,Dollars,millions,375.7
330,2014,Newfoundland and Labrador,Total domestic supply,Vehicle fuel,Dollars,millions,814.6
331,2014,Newfoundland and Labrador,Total domestic supply,Total accommodation,Dollars,millions,173.5
332,2014,Newfoundland and Labrador,Total domestic supply,Hotels,Dollars,millions,133.6
333,2014,Newfoundland and Labrador,Total domestic supply,Motels,Dollars,millions,8.8
334,2014,Newfoundland and Labrador,Total domestic supply,Camping,Dollars,millions,6.1
335,2014,Newfoundland and Labrador,Total domestic supply,Other accommodation,Dollars,millions,25.0
336,2014,Newfoundland and Labrador,Total domestic supply,Total food and beverage services,Dollars,millions,843.2
337,2014,Newfoundland and Labrador,Total domestic supply,Meals from accommodation,Dollars,millions,59.8
338,2014,Newfoundland and Labrador,Total domestic supply,Meals from restaurants,Dollars,millions,598.8
339,2014,Newfoundland and Labrador,Total domestic supply,Alcoholic beverages from accommodation,Dollars,millions,12.5
340,2014,Newfoundland and Labrador,Total domestic supply,Alcoholic beverages from restaurants,Dollars,millions,140.3
341,2014,Newfoundland and Labrador,Total domestic supply,Meals and alcoholic beverages from other tourism industries,Dollars,millions,31.8
342,2014,Newfoundland and Labrador,Total domestic supply,Total other tourism products,Dollars,millions,268.6
343,2014,Newfoundland and Labrador,Total domestic supply,Recreation and entertainment,Dollars,millions,158.8
344,2014,Newfoundland and Labrador,Total domestic supply,Travel services,Dollars,millions,43.7
345,2014,Newfoundland and Labrador,Total domestic supply,Convention fees,Dollars,millions,5.2
346,2014,Newfoundland and Labrador,Total domestic supply,Pre-trip expenses,Dollars,millions,60.9
347,2014,Newfoundland and Labrador,Total domestic supply,Total other products,Dollars,millions,55421.7
348,2014,Newfoundland and Labrador,Total domestic supply,Groceries,Dollars,millions,1574.3
349,2014,Newfoundland and Labrador,Total domestic supply,"Beer, wine, and liquor from stores",Dollars,millions,419.5
350,2014,Newfoundland and Labrador,Total domestic supply,Urban transit and parking,Dollars,millions,8.6
351,2014,Newfoundland and Labrador,Total domestic supply,Miscellaneous products,Dollars,millions,53419.3
352,2014,Newfoundland and Labrador,Total demand,Total tourism expenditures,Dollars,millions,1082.4
353,2014,Newfoundland and Labrador,Total demand,Total tourism products,Dollars,millions,891.1
354,2014,Newfoundland and Labrador,Total demand,Total transportation,Dollars,millions,447.9
355,2014,Newfoundland and Labrador,Total demand,Passenger air transport,Dollars,millions,224.3
356,2014,Newfoundland and Labrador,Total demand,Passenger rail transport,Dollars,millions,0.1
357,2014,Newfoundland and Labrador,Total demand,Passenger water transport,Dollars,millions,12.0
358,2014,Newfoundland and Labrador,Total demand,"Interurban, charter and tour bus transport",Dollars,millions,4.3
359,2014,Newfoundland and Labrador,Total demand,Taxis,Dollars,millions,6.7
360,2014,Newfoundland and Labrador,Total demand,Vehicle rental,Dollars,millions,32.8
361,2014,Newfoundland and Labrador,Total demand,Vehicle repairs and parts,Dollars,millions,52.3
362,2014,Newfoundland and Labrador,Total demand,Vehicle fuel,Dollars,millions,115.4
363,2014,Newfoundland and Labrador,Total demand,Total accommodation,Dollars,millions,133.5
364,2014,Newfoundland and Labrador,Total demand,Hotels,Dollars,millions,101.7
365,2014,Newfoundland and Labrador,Total demand,Motels,Dollars,millions,7.4
366,2014,Newfoundland and Labrador,Total demand,Camping,Dollars,millions,5.2
367,2014,Newfoundland and Labrador,Total demand,Other accommodation,Dollars,millions,19.2
368,2014,Newfoundland and Labrador,Total demand,Total food and beverage services,Dollars,millions,161.9
369,2014,Newfoundland and Labrador,Total demand,Meals from accommodation,Dollars,millions,11.6
370,2014,Newfoundland and Labrador,Total demand,Meals from restaurants,Dollars,millions,115.3
371,2014,Newfoundland and Labrador,Total demand,Alcoholic beverages from accommodation,Dollars,millions,2.4
372,2014,Newfoundland and Labrador,Total demand,Alcoholic beverages from restaurants,Dollars,millions,26.5
373,2014,Newfoundland and Labrador,Total demand,Meals and alcoholic beverages from other tourism industries,Dollars,millions,6.1
374,2014,Newfoundland and Labrador,Total demand,Total other tourism products,Dollars,millions,147.8
375,2014,Newfoundland and Labrador,Total demand,Recreation and entertainment,Dollars,millions,40.1
376,2014,Newfoundland and Labrador,Total demand,Travel services,Dollars,millions,42.8
377,2014,Newfoundland and Labrador,Total demand,Convention fees,Dollars,millions,4.0
378,2014,Newfoundland and Labrador,Total demand,Pre-trip expenses,Dollars,millions,60.9
379,2014,Newfoundland and Labrador,Total demand,Total other products,Dollars,millions,191.3
380,2014,Newfoundland and Labrador,Total demand,Groceries,Dollars,millions,69.2
381,2014,Newfoundland and Labrador,Total demand,"Beer, wine, and liquor from stores",Dollars,millions,18.4
382,2014,Newfoundland and Labrador,Total demand,Urban transit and parking,Dollars,millions,0.5
383,2014,Newfoundland and Labrador,Total demand,Miscellaneous products,Dollars,millions,103.2
384,2014,Newfoundland and Labrador,Domestic demand,Total tourism expenditures,Dollars,millions,611.7
385,2014,Newfoundland and Labrador,Domestic demand,Total tourism products,Dollars,millions,476.0
386,2014,Newfoundland and Labrador,Domestic demand,Total transportation,Dollars,millions,249.9
387,2014,Newfoundland and Labrador,Domestic demand,Passenger air transport,Dollars,millions,87.9
388,2014,Newfoundland and Labrador,Domestic demand,Passenger rail transport,Dollars,millions,0.0
389,2014,Newfoundland and Labrador,Domestic demand,Passenger water transport,Dollars,millions,5.1
390,2014,Newfoundland and Labrador,Domestic demand,"Interurban, charter and tour bus transport",Dollars,millions,1.5
391,2014,Newfoundland and Labrador,Domestic demand,Taxis,Dollars,millions,4.0
392,2014,Newfoundland and Labrador,Domestic demand,Vehicle rental,Dollars,millions,4.1
393,2014,Newfoundland and Labrador,Domestic demand,Vehicle repairs and parts,Dollars,millions,46.1
394,2014,Newfoundland and Labrador,Domestic demand,Vehicle fuel,Dollars,millions,101.2
395,2014,Newfoundland and Labrador,Domestic demand,Total accommodation,Dollars,millions,42.0
396,2014,Newfoundland and Labrador,Domestic demand,Hotels,Dollars,millions,34.3
397,2014,Newfoundland and Labrador,Domestic demand,Motels,Dollars,millions,1.1
398,2014,Newfoundland and Labrador,Domestic demand,Camping,Dollars,millions,2.9
399,2014,Newfoundland and Labrador,Domestic demand,Other accommodation,Dollars,millions,3.7
400,2014,Newfoundland and Labrador,Domestic demand,Total food and beverage services,Dollars,millions,81.5
401,2014,Newfoundland and Labrador,Domestic demand,Meals from accommodation,Dollars,millions,5.8
402,2014,Newfoundland and Labrador,Domestic demand,Meals from restaurants,Dollars,millions,58.1
403,2014,Newfoundland and Labrador,Domestic demand,Alcoholic beverages from accommodation,Dollars,millions,1.2
