,Year,Province,Products,VALUE
3306,2014,British Columbia,Vehicle fuel,253.9
3307,2014,British Columbia,Total accommodation,1685.2
3308,2014,British Columbia,Hotels,1401.5
3309,2014,British Columbia,Motels,95.3
3310,2014,British Columbia,Camping,67.8
3311,2014,British Columbia,Other accommodation,120.6
3312,2014,British Columbia,Total food and beverage services,1263.8
3313,2014,British Columbia,Meals from accommodation,74.4
3314,2014,British Columbia,Meals from restaurants,938.7
3315,2014,British Columbia,Alcoholic beverages from accommodation,59.6
3316,2014,British Columbia,Alcoholic beverages from restaurants,116.1
3317,2014,British Columbia,Meals and alcoholic beverages from other tourism industries,75.0
3318,2014,British Columbia,Total other tourism products,1118.3
3319,2014,British Columbia,Recreation and entertainment,645.5
3320,2014,British Columbia,Travel services,387.6
3321,2014,British Columbia,Convention fees,85.2
3322,2014,British Columbia,Pre-trip expenses,0.0
3323,2014,British Columbia,Total other products,1312.9
3324,2014,British Columbia,Groceries,448.1
3325,2014,British Columbia,"Beer, wine, and liquor from stores",98.3
3326,2014,British Columbia,Urban transit and parking,19.0
3327,2014,British Columbia,Miscellaneous products,747.5
3328,2014,British Columbia,Total tourism expenditures,3038.7
3329,2014,British Columbia,Total tourism products,2698.5
3330,2014,British Columbia,Total transportation,1321.8
3331,2014,British Columbia,Passenger air transport,947.6
3332,2014,British Columbia,Passenger rail transport,0.4
3333,2014,British Columbia,Passenger water transport,12.8
3334,2014,British Columbia,"Interurban, charter and tour bus transport",15.2
3335,2014,British Columbia,Taxis,16.8
3336,2014,British Columbia,Vehicle rental,78.6
3337,2014,British Columbia,Vehicle repairs and parts,101.3
3338,2014,British Columbia,Vehicle fuel,149.1
3339,2014,British Columbia,Total accommodation,474.7
3340,2014,British Columbia,Hotels,374.0
3341,2014,British Columbia,Motels,35.1
3342,2014,British Columbia,Camping,35.8
3343,2014,British Columbia,Other accommodation,29.8
3344,2014,British Columbia,Total food and beverage services,457.8
3345,2014,British Columbia,Meals from accommodation,27.5
3346,2014,British Columbia,Meals from restaurants,332.7
3347,2014,British Columbia,Alcoholic beverages from accommodation,23.9
3348,2014,British Columbia,Alcoholic beverages from restaurants,46.3
3349,2014,British Columbia,Meals and alcoholic beverages from other tourism industries,27.4
3350,2014,British Columbia,Total other tourism products,444.2
3351,2014,British Columbia,Recreation and entertainment,182.9
3352,2014,British Columbia,Travel services,244.8
3353,2014,British Columbia,Convention fees,16.5
3354,2014,British Columbia,Pre-trip expenses,0.0
3355,2014,British Columbia,Total other products,340.2
3356,2014,British Columbia,Groceries,149.7
3357,2014,British Columbia,"Beer, wine, and liquor from stores",32.8
3358,2014,British Columbia,Urban transit and parking,13.5
3359,2014,British Columbia,Miscellaneous products,144.2
3360,2014,British Columbia,Total tourism expenditures,5762.4
3361,2014,British Columbia,Total tourism products,4789.8
3362,2014,British Columbia,Total transportation,2099.2
3363,2014,British Columbia,Passenger air transport,1486.4
3364,2014,British Columbia,Passenger rail transport,10.1
3365,2014,British Columbia,Passenger water transport,235.8
3366,2014,British Columbia,"Interurban, charter and tour bus transport",92.6
3367,2014,British Columbia,Taxis,13.7
3368,2014,British Columbia,Vehicle rental,85.7
3369,2014,British Columbia,Vehicle repairs and parts,70.1
3370,2014,British Columbia,Vehicle fuel,104.8
3371,2014,British Columbia,Total accommodation,1210.4
3372,2014,British Columbia,Hotels,1027.5
3373,2014,British Columbia,Motels,60.2
3374,2014,British Columbia,Camping,31.9
3375,2014,British Columbia,Other accommodation,90.8
3376,2014,British Columbia,Total food and beverage services,806.0
3377,2014,British Columbia,Meals from accommodation,46.9
3378,2014,British Columbia,Meals from restaurants,606.0
3379,2014,British Columbia,Alcoholic beverages from accommodation,35.7
3380,2014,British Columbia,Alcoholic beverages from restaurants,69.8
3381,2014,British Columbia,Meals and alcoholic beverages from other tourism industries,47.6
3382,2014,British Columbia,Total other tourism products,674.2
3383,2014,British Columbia,Recreation and entertainment,462.7
3384,2014,British Columbia,Travel services,142.8
3385,2014,British Columbia,Convention fees,68.7
3386,2014,British Columbia,Pre-trip expenses,0.0
3387,2014,British Columbia,Total other products,972.6
3388,2014,British Columbia,Groceries,298.4
3389,2014,British Columbia,"Beer, wine, and liquor from stores",65.5
3390,2014,British Columbia,Urban transit and parking,5.5
3391,2014,British Columbia,Miscellaneous products,603.2
3392,2014,British Columbia,Total tourism expenditures,10269.8
3393,2014,British Columbia,Total tourism products,8949.1
3394,2014,British Columbia,Total transportation,3533.0
3395,2014,British Columbia,Passenger air transport,
3396,2014,British Columbia,Passenger rail transport,
3397,2014,British Columbia,Passenger water transport,
3398,2014,British Columbia,"Interurban, charter and tour bus transport",
3399,2014,British Columbia,Taxis,
3400,2014,British Columbia,Vehicle rental,
3401,2014,British Columbia,Vehicle repairs and parts,
3402,2014,British Columbia,Vehicle fuel,
3403,2014,British Columbia,Total accommodation,2557.5
3404,2014,British Columbia,Hotels,
3405,2014,British Columbia,Motels,
3406,2014,British Columbia,Camping,
3407,2014,British Columbia,Other accommodation,
3408,2014,British Columbia,Total food and beverage services,1821.4
3409,2014,British Columbia,Meals from accommodation,
3410,2014,British Columbia,Meals from restaurants,
3411,2014,British Columbia,Alcoholic beverages from accommodation,
3412,2014,British Columbia,Alcoholic beverages from restaurants,
3413,2014,British Columbia,Meals and alcoholic beverages from other tourism industries,
3414,2014,British Columbia,Total other tourism products,1037.2
3415,2014,British Columbia,Recreation and entertainment,
3416,2014,British Columbia,Travel services,
3417,2014,British Columbia,Convention fees,
3418,2014,British Columbia,Pre-trip expenses,
3419,2014,British Columbia,Total other products,1320.7
3420,2014,British Columbia,Groceries,
3421,2014,British Columbia,"Beer, wine, and liquor from stores",
3422,2014,British Columbia,Urban transit and parking,
3423,2014,British Columbia,Miscellaneous products,
3424,2014,British Columbia,Total tourism expenditures,1490.4
3425,2014,British Columbia,Total tourism products,1341.2
3426,2014,British Columbia,Total transportation,591.0
3427,2014,British Columbia,Passenger air transport,431.5
3428,2014,British Columbia,Passenger rail transport,0.0
3429,2014,British Columbia,Passenger water transport,3.1
3430,2014,British Columbia,"Interurban, charter and tour bus transport",3.4
3431,2014,British Columbia,Taxis,14.2
3432,2014,British Columbia,Vehicle rental,41.9
3433,2014,British Columbia,Vehicle repairs and parts,35.9
3434,2014,British Columbia,Vehicle fuel,61.0
3435,2014,British Columbia,Total accommodation,274.4
3436,2014,British Columbia,Hotels,241.1
3437,2014,British Columbia,Motels,9.7
3438,2014,British Columbia,Camping,18.7
3439,2014,British Columbia,Other accommodation,4.9
3440,2014,British Columbia,Total food and beverage services,214.4
3441,2014,British Columbia,Meals from accommodation,12.1
3442,2014,British Columbia,Meals from restaurants,161.9
3443,2014,British Columbia,Alcoholic beverages from accommodation,6.6
3444,2014,British Columbia,Alcoholic beverages from restaurants,23.3
3445,2014,British Columbia,Meals and alcoholic beverages from other tourism industries,10.5
3446,2014,British Columbia,Total other tourism products,261.4
3447,2014,British Columbia,Recreation and entertainment,40.9
3448,2014,British Columbia,Travel services,215.1
3449,2014,British Columbia,Convention fees,5.4
3450,2014,British Columbia,Pre-trip expenses,
3451,2014,British Columbia,Total other products,149.2
3452,2014,British Columbia,Groceries,53.8
3453,2014,British Columbia,"Beer, wine, and liquor from stores",10.9
3454,2014,British Columbia,Urban transit and parking,8.9
3455,2014,British Columbia,Miscellaneous products,75.6
3456,2014,British Columbia,Total tourism expenditures,8779.4
3457,2014,British Columbia,Total tourism products,7607.9
3458,2014,British Columbia,Total transportation,2942.1
3459,2014,British Columbia,Passenger air transport,
3460,2014,British Columbia,Passenger rail transport,
3461,2014,British Columbia,Passenger water transport,
3462,2014,British Columbia,"Interurban, charter and tour bus transport",
3463,2014,British Columbia,Taxis,
3464,2014,British Columbia,Vehicle rental,
3465,2014,British Columbia,Vehicle repairs and parts,
3466,2014,British Columbia,Vehicle fuel,
3467,2014,British Columbia,Total accommodation,2283.1
3468,2014,British Columbia,Hotels,
3469,2014,British Columbia,Motels,
3470,2014,British Columbia,Camping,
3471,2014,British Columbia,Other accommodation,
3472,2014,British Columbia,Total food and beverage services,1607.0
3473,2014,British Columbia,Meals from accommodation,
3474,2014,British Columbia,Meals from restaurants,
3475,2014,British Columbia,Alcoholic beverages from accommodation,
3476,2014,British Columbia,Alcoholic beverages from restaurants,
3477,2014,British Columbia,Meals and alcoholic beverages from other tourism industries,
3478,2014,British Columbia,Total other tourism products,775.8
3479,2014,British Columbia,Recreation and entertainment,
3480,2014,British Columbia,Travel services,
3481,2014,British Columbia,Convention fees,
3482,2014,British Columbia,Pre-trip expenses,
3483,2014,British Columbia,Total other products,1171.5
3484,2014,British Columbia,Groceries,
3485,2014,British Columbia,"Beer, wine, and liquor from stores",
3486,2014,British Columbia,Urban transit and parking,
3487,2014,British Columbia,Miscellaneous products,
3488,2014,British Columbia,Total tourism expenditures,3.7
3489,2014,British Columbia,Total tourism products,40.2
3490,2014,British Columbia,Total transportation,44.4
3491,2014,British Columbia,Passenger air transport,88.6
3492,2014,British Columbia,Passenger rail transport,93.5
3493,2014,British Columbia,Passenger water transport,76.5
3494,2014,British Columbia,"Interurban, charter and tour bus transport",40.7
3495,2014,British Columbia,Taxis,21.5
3496,2014,British Columbia,Vehicle rental,46.9
3497,2014,British Columbia,Vehicle repairs and parts,19.0
3498,2014,British Columbia,Vehicle fuel,18.9
3499,2014,British Columbia,Total accommodation,93.8
3500,2014,British Columbia,Hotels,93.5
3501,2014,British Columbia,Motels,98.2
3502,2014,British Columbia,Camping,92.8
3503,2014,British Columbia,Other accommodation,94.0
3504,2014,British Columbia,Total food and beverage services,20.7
3505,2014,British Columbia,Meals from accommodation,20.6
3506,2014,British Columbia,Meals from restaurants,20.3
3507,2014,British Columbia,Alcoholic beverages from accommodation,23.0
3508,2014,British Columbia,Alcoholic beverages from restaurants,23.0
3509,2014,British Columbia,Meals and alcoholic beverages from other tourism industries,20.9
3510,2014,British Columbia,Total other tourism products,44.4
3511,2014,British Columbia,Recreation and entertainment,25.4
3512,2014,British Columbia,Travel services,98.0
3513,2014,British Columbia,Convention fees,93.5
3514,2014,British Columbia,Pre-trip expenses,100.0
3515,2014,British Columbia,Total other products,0.6
3516,2014,British Columbia,Groceries,6.1
3517,2014,British Columbia,"Beer, wine, and liquor from stores",6.2
3518,2014,British Columbia,Urban transit and parking,9.8
3519,2014,British Columbia,Miscellaneous products,0.3
3520,2014,Yukon,Total tourism expenditures,4602.4
3521,2014,Yukon,Total tourism products,338.6
3522,2014,Yukon,Total transportation,163.6
3523,2014,Yukon,Passenger air transport,79.1
3524,2014,Yukon,Passenger rail transport,0.0
3525,2014,Yukon,Passenger water transport,0.0
3526,2014,Yukon,"Interurban, charter and tour bus transport",2.0
3527,2014,Yukon,Taxis,2.7
3528,2014,Yukon,Vehicle rental,5.2
3529,2014,Yukon,Vehicle repairs and parts,19.2
3530,2014,Yukon,Vehicle fuel,55.4
3531,2014,Yukon,Total accommodation,43.4
3532,2014,Yukon,Hotels,28.0
3533,2014,Yukon,Motels,7.3
3534,2014,Yukon,Camping,2.1
3535,2014,Yukon,Other accommodation,6.0
3536,2014,Yukon,Total food and beverage services,99.5
3537,2014,Yukon,Meals from accommodation,21.8
3538,2014,Yukon,Meals from restaurants,37.4
3539,2014,Yukon,Alcoholic beverages from accommodation,15.7
3540,2014,Yukon,Alcoholic beverages from restaurants,21.9
3541,2014,Yukon,Meals and alcoholic beverages from other tourism industries,2.7
3542,2014,Yukon,Total other tourism products,32.1
3543,2014,Yukon,Recreation and entertainment,19.1
3544,2014,Yukon,Travel services,2.7
3545,2014,Yukon,Convention fees,0.7
3546,2014,Yukon,Pre-trip expenses,9.6
3547,2014,Yukon,Total other products,4263.8
3548,2014,Yukon,Groceries,114.6
3549,2014,Yukon,"Beer, wine, and liquor from stores",27.8
3550,2014,Yukon,Urban transit and parking,0.9
3551,2014,Yukon,Miscellaneous products,4120.5
3552,2014,Yukon,Total tourism expenditures,187.6
3553,2014,Yukon,Total tourism products,152.3
3554,2014,Yukon,Total transportation,56.7
3555,2014,Yukon,Passenger air transport,28.8
3556,2014,Yukon,Passenger rail transport,0.0
3557,2014,Yukon,Passenger water transport,2.0
3558,2014,Yukon,"Interurban, charter and tour bus transport",2.0
3559,2014,Yukon,Taxis,0.5
3560,2014,Yukon,Vehicle rental,3.1
3561,2014,Yukon,Vehicle repairs and parts,5.3
3562,2014,Yukon,Vehicle fuel,15.0
3563,2014,Yukon,Total accommodation,30.1
3564,2014,Yukon,Hotels,19.7
3565,2014,Yukon,Motels,4.0
3566,2014,Yukon,Camping,2.0
3567,2014,Yukon,Other accommodation,4.4
3568,2014,Yukon,Total food and beverage services,48.3
3569,2014,Yukon,Meals from accommodation,10.5
3570,2014,Yukon,Meals from restaurants,18.1
3571,2014,Yukon,Alcoholic beverages from accommodation,7.6
3572,2014,Yukon,Alcoholic beverages from restaurants,10.8
3573,2014,Yukon,Meals and alcoholic beverages from other tourism industries,1.3
3574,2014,Yukon,Total other tourism products,17.2
3575,2014,Yukon,Recreation and entertainment,4.4
3576,2014,Yukon,Travel services,2.7
3577,2014,Yukon,Convention fees,0.5
3578,2014,Yukon,Pre-trip expenses,9.6
3579,2014,Yukon,Total other products,35.3
3580,2014,Yukon,Groceries,6.8
3581,2014,Yukon,"Beer, wine, and liquor from stores",1.6
3582,2014,Yukon,Urban transit and parking,0.1
3583,2014,Yukon,Miscellaneous products,26.8
3584,2014,Yukon,Total tourism expenditures,56.9
3585,2014,Yukon,Total tourism products,47.2
3586,2014,Yukon,Total transportation,18.0
3587,2014,Yukon,Passenger air transport,7.8
3588,2014,Yukon,Passenger rail transport,0.0
3589,2014,Yukon,Passenger water transport,0.0
3590,2014,Yukon,"Interurban, charter and tour bus transport",0.1
3591,2014,Yukon,Taxis,0.3
3592,2014,Yukon,Vehicle rental,0.4
3593,2014,Yukon,Vehicle repairs and parts,2.5
3594,2014,Yukon,Vehicle fuel,6.9
3595,2014,Yukon,Total accommodation,5.1
3596,2014,Yukon,Hotels,3.2
3597,2014,Yukon,Motels,0.9
3598,2014,Yukon,Camping,0.1
3599,2014,Yukon,Other accommodation,0.9
3600,2014,Yukon,Total food and beverage services,11.2
3601,2014,Yukon,Meals from accommodation,2.4
3602,2014,Yukon,Meals from restaurants,4.2
3603,2014,Yukon,Alcoholic beverages from accommodation,1.7
3604,2014,Yukon,Alcoholic beverages from restaurants,2.6
3605,2014,Yukon,Meals and alcoholic beverages from other tourism industries,0.3
3606,2014,Yukon,Total other tourism products,12.9
3607,2014,Yukon,Recreation and entertainment,1.9
3608,2014,Yukon,Travel services,1.2
3609,2014,Yukon,Convention fees,0.2
3610,2014,Yukon,Pre-trip expenses,9.6
3611,2014,Yukon,Total other products,9.7
3612,2014,Yukon,Groceries,0.8
3613,2014,Yukon,"Beer, wine, and liquor from stores",0.2
3614,2014,Yukon,Urban transit and parking,0.0
3615,2014,Yukon,Miscellaneous products,8.7
3616,2014,Yukon,Total tourism expenditures,130.7
3617,2014,Yukon,Total tourism products,105.2
3618,2014,Yukon,Total transportation,38.7
3619,2014,Yukon,Passenger air transport,21.1
3620,2014,Yukon,Passenger rail transport,0.0
3621,2014,Yukon,Passenger water transport,2.0
3622,2014,Yukon,"Interurban, charter and tour bus transport",1.9
3623,2014,Yukon,Taxis,0.2
3624,2014,Yukon,Vehicle rental,2.7
3625,2014,Yukon,Vehicle repairs and parts,2.8
3626,2014,Yukon,Vehicle fuel,8.0
3627,2014,Yukon,Total accommodation,25.1
3628,2014,Yukon,Hotels,16.6
3629,2014,Yukon,Motels,3.1
3630,2014,Yukon,Camping,1.9
3631,2014,Yukon,Other accommodation,3.5
3632,2014,Yukon,Total food and beverage services,37.0
3633,2014,Yukon,Meals from accommodation,8.1
3634,2014,Yukon,Meals from restaurants,14.0
3635,2014,Yukon,Alcoholic beverages from accommodation,5.8
3636,2014,Yukon,Alcoholic beverages from restaurants,8.1
3637,2014,Yukon,Meals and alcoholic beverages from other tourism industries,1.0
3638,2014,Yukon,Total other tourism products,4.4
3639,2014,Yukon,Recreation and entertainment,2.5
3640,2014,Yukon,Travel services,1.5
3641,2014,Yukon,Convention fees,0.4
3642,2014,Yukon,Pre-trip expenses,0.0
3643,2014,Yukon,Total other products,25.5
3644,2014,Yukon,Groceries,5.9
3645,2014,Yukon,"Beer, wine, and liquor from stores",1.4
3646,2014,Yukon,Urban transit and parking,0.1
3647,2014,Yukon,Miscellaneous products,18.1
3648,2014,Yukon,Total tourism expenditures,21.7
3649,2014,Yukon,Total tourism products,19.2
3650,2014,Yukon,Total transportation,12.8
3651,2014,Yukon,Passenger air transport,8.3
3652,2014,Yukon,Passenger rail transport,0.0
3653,2014,Yukon,Passenger water transport,0.0
3654,2014,Yukon,"Interurban, charter and tour bus transport",0.2
3655,2014,Yukon,Taxis,0.1
3656,2014,Yukon,Vehicle rental,1.6
3657,2014,Yukon,Vehicle repairs and parts,0.7
3658,2014,Yukon,Vehicle fuel,1.9
3659,2014,Yukon,Total accommodation,0.7
3660,2014,Yukon,Hotels,0.3
3661,2014,Yukon,Motels,0.2
3662,2014,Yukon,Camping,0.2
3663,2014,Yukon,Other accommodation,0.0
3664,2014,Yukon,Total food and beverage services,3.7
3665,2014,Yukon,Meals from accommodation,0.8
3666,2014,Yukon,Meals from restaurants,1.4
3667,2014,Yukon,Alcoholic beverages from accommodation,0.6
3668,2014,Yukon,Alcoholic beverages from restaurants,0.8
3669,2014,Yukon,Meals and alcoholic beverages from other tourism industries,0.1
3670,2014,Yukon,Total other tourism products,2.0
3671,2014,Yukon,Recreation and entertainment,1.5
3672,2014,Yukon,Travel services,0.5
3673,2014,Yukon,Convention fees,0.0
3674,2014,Yukon,Pre-trip expenses,0.0
3675,2014,Yukon,Total other products,2.5
3676,2014,Yukon,Groceries,0.6
3677,2014,Yukon,"Beer, wine, and liquor from stores",0.1
3678,2014,Yukon,Urban transit and parking,0.0
3679,2014,Yukon,Miscellaneous products,1.8
3680,2014,Yukon,Total tourism expenditures,108.6
3681,2014,Yukon,Total tourism products,85.7
3682,2014,Yukon,Total transportation,25.8
3683,2014,Yukon,Passenger air transport,12.7
3684,2014,Yukon,Passenger rail transport,0.0
3685,2014,Yukon,Passenger water transport,2.0
3686,2014,Yukon,"Interurban, charter and tour bus transport",1.7
3687,2014,Yukon,Taxis,0.1
3688,2014,Yukon,Vehicle rental,1.1
3689,2014,Yukon,Vehicle repairs and parts,2.1
3690,2014,Yukon,Vehicle fuel,6.1
3691,2014,Yukon,Total accommodation,24.4
3692,2014,Yukon,Hotels,16.3
3693,2014,Yukon,Motels,2.9
3694,2014,Yukon,Camping,1.7
3695,2014,Yukon,Other accommodation,3.5
3696,2014,Yukon,Total food and beverage services,33.2
3697,2014,Yukon,Meals from accommodation,7.3
3698,2014,Yukon,Meals from restaurants,12.5
3699,2014,Yukon,Alcoholic beverages from accommodation,5.2
3700,2014,Yukon,Alcoholic beverages from restaurants,7.3
3701,2014,Yukon,Meals and alcoholic beverages from other tourism industries,0.9
3702,2014,Yukon,Total other tourism products,2.3
3703,2014,Yukon,Recreation and entertainment,1.0
3704,2014,Yukon,Travel services,1.0
3705,2014,Yukon,Convention fees,0.3
3706,2014,Yukon,Pre-trip expenses,0.0
3707,2014,Yukon,Total other products,22.9
3708,2014,Yukon,Groceries,5.3
3709,2014,Yukon,"Beer, wine, and liquor from stores",1.3
3710,2014,Yukon,Urban transit and parking,0.0
3711,2014,Yukon,Miscellaneous products,16.3
3712,2014,Yukon,Total tourism expenditures,90.3
3713,2014,Yukon,Total tourism products,67.4
3714,2014,Yukon,Total transportation,27.6
3715,2014,Yukon,Passenger air transport,
3716,2014,Yukon,Passenger rail transport,
3717,2014,Yukon,Passenger water transport,
3718,2014,Yukon,"Interurban, charter and tour bus transport",
3719,2014,Yukon,Taxis,
3720,2014,Yukon,Vehicle rental,
3721,2014,Yukon,Vehicle repairs and parts,
3722,2014,Yukon,Vehicle fuel,
3723,2014,Yukon,Total accommodation,17.0
3724,2014,Yukon,Hotels,
3725,2014,Yukon,Motels,
3726,2014,Yukon,Camping,
3727,2014,Yukon,Other accommodation,
3728,2014,Yukon,Total food and beverage services,13.2
3729,2014,Yukon,Meals from accommodation,
3730,2014,Yukon,Meals from restaurants,
3731,2014,Yukon,Alcoholic beverages from accommodation,
3732,2014,Yukon,Alcoholic beverages from restaurants,
3733,2014,Yukon,Meals and alcoholic beverages from other tourism industries,
3734,2014,Yukon,Total other tourism products,9.5
3735,2014,Yukon,Recreation and entertainment,
3736,2014,Yukon,Travel services,
3737,2014,Yukon,Convention fees,
3738,2014,Yukon,Pre-trip expenses,
3739,2014,Yukon,Total other products,23.0
3740,2014,Yukon,Groceries,
3741,2014,Yukon,"Beer, wine, and liquor from stores",
3742,2014,Yukon,Urban transit and parking,
3743,2014,Yukon,Miscellaneous products,
3744,2014,Yukon,Total tourism expenditures,68.2
3745,2014,Yukon,Total tourism products,47.2
3746,2014,Yukon,Total transportation,24.4
3747,2014,Yukon,Passenger air transport,20.7
3748,2014,Yukon,Passenger rail transport,0.1
3749,2014,Yukon,Passenger water transport,0.1
3750,2014,Yukon,"Interurban, charter and tour bus transport",0.1
3751,2014,Yukon,Taxis,0.6
3752,2014,Yukon,Vehicle rental,1.3
3753,2014,Yukon,Vehicle repairs and parts,1.5
3754,2014,Yukon,Vehicle fuel,
3755,2014,Yukon,Total accommodation,7.1
3756,2014,Yukon,Hotels,5.2
3757,2014,Yukon,Motels,1.0
3758,2014,Yukon,Camping,0.3
3759,2014,Yukon,Other accommodation,0.6
3760,2014,Yukon,Total food and beverage services,7.4
3761,2014,Yukon,Meals from accommodation,2.3
3762,2014,Yukon,Meals from restaurants,3.8
3763,2014,Yukon,Alcoholic beverages from accommodation,0.5
3764,2014,Yukon,Alcoholic beverages from restaurants,0.6
3765,2014,Yukon,Meals and alcoholic beverages from other tourism industries,0.2
3766,2014,Yukon,Total other tourism products,8.3
3767,2014,Yukon,Recreation and entertainment,2.1
3768,2014,Yukon,Travel services,4.6
3769,2014,Yukon,Convention fees,1.6
3770,2014,Yukon,Pre-trip expenses,0.0
3771,2014,Yukon,Total other products,21.0
3772,2014,Yukon,Groceries,2.2
3773,2014,Yukon,"Beer, wine, and liquor from stores",0.5
3774,2014,Yukon,Urban transit and parking,0.1
3775,2014,Yukon,Miscellaneous products,18.2
3776,2014,Yukon,Total tourism expenditures,22.1
3777,2014,Yukon,Total tourism products,20.2
3778,2014,Yukon,Total transportation,3.3
3779,2014,Yukon,Passenger air transport,
